DATE,TYPE,CPC DESCRIPTION,EXPORTER NAME,IMPORTER NAME,DECLARANT NAME,Origin Country,Destination Country,HS CODE,HS CODE DESCRIPTION,QUANTITY UOM,QUANTITY,NO OF PACKAGE TYPE,GROSS WEIGHT,GROSS WEIGHT UOM,NET WEIGHT,NET WEIGHT UOM,PACKAGE TYPE,CUSTOMS VALUE BWP,DECLARATION OFFICE,INVOICE AMOUNT BWP,FREIGHT BWP,REGIME,ITEM NO,PORT OF ENTRY,PLACE OF DISCHARGE,CPC CODE,CPC GROUP CODE,Chapter,HEADING,SUB HEADING,CPC GROUP DESCRIPTION,MONTH,YEAR
01/11/2019,Export,Direct Exports of home produced goods,"ALVIN INVESTMENTS,PLOT 2167,KASANE,BOTSWANA","CHOBE WATER VILLAS,KASEKA CONSERVANCY,MPACHA,NAMIBIA",HYPROP (PROPRIETARY) LIMITED,BOTSWANA,NAMIBIA,02012010,"Wagyu beef ( other cuts with bone in, fresh or chilled)",KGM,4,40,4,KGM,4,KGM,EACH,1400,Kasane Inland Office,2656.7,132.84,1,12,Mpacha,Kasane,10000,1000,02,0201,020120,Direct permanent export,November,2019
01/11/2019,Export,Direct Exports of home produced goods,"ALVIN INVESTMENTS,PLOT 2167,KASANE,BOTSWANA","CHOBE WATER VILLAS,KASEKA CONSERVANCY,MPACHA,NAMIBIA",HYPROP (PROPRIETARY) LIMITED,BOTSWANA,NAMIBIA,04011007,Ultra high temperature (UHT) or 'long life' milk in containers holding 1 li or,KGM,18,8,18,KGM,18,KGM,EACH,510,Kasane Inland Office,6667.3,333.37,1,10,Mpacha,Kasane,10000,1000,04,0401,040110,Direct permanent export,November,2019
01/11/2019,Export,Direct Exports of home produced goods,"ALVIN INVESTMENTS,PLOT 2167,KASANE,BOTSWANA","CHOBE WATER VILLAS,KASEKA CONSERVANCY,MPACHA,NAMIBIA",HYPROP (PROPRIETARY) LIMITED,BOTSWANA,NAMIBIA,07020000,"Tomatoes, fresh or chilled",KGM,4,24,4,KGM,4,KGM,EACH,357.6,Kasane Inland Office,6667.3,333.37,1,8,Mpacha,Kasane,10000,1000,07,0702,070200,Direct permanent export,November,2019
01/11/2019,Export,Direct Exports of home produced goods,"ALVIN INVESTMENTS,PLOT 2167,KASANE,BOTSWANA","CHOBE WATER VILLAS,KASEKA CONSERVANCY,MPACHA,NAMIBIA",HYPROP (PROPRIETARY) LIMITED,BOTSWANA,NAMIBIA,07031000,"Onions and shallots, fresh or chilled",KGM,10,1,10,KGM,10,KGM,EACH,96.15,Kasane Inland Office,2656.7,132.84,1,3,Mpacha,Kasane,10000,1000,07,0703,070310,Direct permanent export,November,2019
01/11/2019,Export,Direct Exports of home produced goods,"ALVIN INVESTMENTS,PLOT 2167,KASANE,BOTSWANA","CHOBE WATER VILLAS,KASEKA CONSERVANCY,MPACHA,NAMIBIA",HYPROP (PROPRIETARY) LIMITED,BOTSWANA,NAMIBIA,07039000,"Leeks and other alliaceous vegetables, fresh or chilled",KGM,4,10,4,KGM,4,KGM,EACH,289,Kasane Inland Office,6667.3,333.37,1,2,Mpacha,Kasane,10000,1000,07,0703,070390,Direct permanent export,November,2019
01/11/2019,Export,Direct Exports of home produced goods,"ALVIN INVESTMENTS,PLOT 2167,KASANE,BOTSWANA","CHOBE WATER VILLAS,KASEKA CONSERVANCY,MPACHA,NAMIBIA",HYPROP (PROPRIETARY) LIMITED,BOTSWANA,NAMIBIA,07051100,"Cabbage lettuce (head lettuce), fresh or chilled",KGM,2,15,2,KGM,2,KGM,EACH,183.75,Kasane Inland Office,2656.7,132.84,1,11,Mpacha,Kasane,10000,1000,07,0705,070511,Direct permanent export,November,2019
01/11/2019,Export,Direct Exports of home produced goods,"ALVIN INVESTMENTS,PLOT 2167,KASANE,BOTSWANA","CHOBE WATER VILLAS,KASEKA CONSERVANCY,MPACHA,NAMIBIA",HYPROP (PROPRIETARY) LIMITED,BOTSWANA,NAMIBIA,07061000,"Carrots and turnips, fresh or chilled",KGM,5,5,5,KGM,5,KGM,EACH,63.5,Kasane Inland Office,2656.7,132.84,1,1,Mpacha,Kasane,10000,1000,07,0706,070610,Direct permanent export,November,2019
01/11/2019,Export,Direct Exports of home produced goods,"ALVIN INVESTMENTS,PLOT 2167,KASANE,BOTSWANA","CHOBE WATER VILLAS,KASEKA CONSERVANCY,MPACHA,NAMIBIA",HYPROP (PROPRIETARY) LIMITED,BOTSWANA,NAMIBIA,07070000,"Cucumbers and gherkins, fresh or chilled",KGM,2,5,2,KGM,2,KGM,EACH,61.25,Kasane Inland Office,2656.7,132.84,1,2,Mpacha,Kasane,10000,1000,07,0707,070700,Direct permanent export,November,2019
01/11/2019,Export,Direct Exports of home produced goods,"ALVIN INVESTMENTS,PLOT 2167,KASANE,BOTSWANA","CHOBE WATER VILLAS,KASEKA CONSERVANCY,MPACHA,NAMIBIA",HYPROP (PROPRIETARY) LIMITED,BOTSWANA,NAMIBIA,07082000,"Beans (VIGNA SPP., PHASEOLUS SPP.), shelled or unshelled, fresh or chilled",KGM,4,1,4,KGM,4,KGM,EACH,61.25,Kasane Inland Office,6667.3,333.37,1,14,Mpacha,Kasane,10000,1000,07,0708,070820,Direct permanent export,November,2019
01/11/2019,Export,Direct Exports of home produced goods,"ALVIN INVESTMENTS,PLOT 2167,KASANE,BOTSWANA","CHOBE WATER VILLAS,KASEKA CONSERVANCY,MPACHA,NAMIBIA",HYPROP (PROPRIETARY) LIMITED,BOTSWANA,NAMIBIA,07095100,"Mushrooms of the genus Agaricus, fresh or chilled",KGM,5,10,5,KGM,5,KGM,EACH,271.5,Kasane Inland Office,6667.3,333.37,1,1,Mpacha,Kasane,10000,1000,07,0709,070951,Direct permanent export,November,2019
