ESTIMATE ARRIVAL DATE,ACTUAL ARRIVAL DATE,SHIPPER NAME,SHIPPER ADDRESS ,RAW SHIPPER NAME,RAW SHIPPER ADDRESS1,RAW SHIPPER ADDRESS2,RAW SHIPPER ADDRESS3,RAW SHIPPER ADDRESS OTHERS,CONSIGNEE NAME,CONSIGNEE ADDRESS ,RAW CONSIGNEE NAME,RAW CONSIGNEE ADDR1,RAW CONSIGNEE ADDRESS2,RAW CONSIGNEE ADDRESS3,RAW CONSIGNEE ADDRESS OTHERS,NOTIFY PARTY NAME,NOTIFY PARTY ADDRESS ,RAW NOTIFY PARTY NAME,RAW NOTIFY PARTY ADDRESS1,RAW NOTIFY PARTY ADDRESS2,RAW NOTIFY PARTY ADDRESS3,RAW NOTIFY PARTY ADDRESS OTHERS,COUNTRY,HS CODE,PRODUCT DESCRIPTION,QUANTITY,QUANTITY UNIT,MEASURE UNIT,WEIGHT IN KG,WEIGHT,WEIGHT UNIT,CIF,TEU,BILL OF LADING,MASTER BILL OF LADING,BILL TYPE CODE,CARRIER SASC CODE,VESSEL COUNTRY CODE,VESSEL CODE,VESSEL NAME,VOYAGE,INBOND TYPE,MANIFEST NO,MODE OF TRANSPORTATION,LOADING PORT,UNLOADING PORT,PLACE OF RECEIPT,COUNTRY SURE LEVEL,CONTAINER ID,CONTAINER SIZE,CONTAINER TYPE,CONTAINER TYPE OF SERVICE,HS CODE SURE LEVEL,INDICATOR OF TRUE SUPPLIER,INDICATOR OF TRUE BUYER,END
8-Mar-20,12-Mar-20,ANGEL DORRONSORO GANDARA,106 CIUDAD INDUSTRIAL AGUASCALIENTES AGS C P 20290 CTC ISABEL LOPEZ ,ANGEL DORRONSORO GANDARA 106,CIUDAD INDUSTRIAL,"AGUASCALIENTES, AGS C.P. 20290",CTC ISABEL LOPEZ,52-2288141473,NTS NATIONAL TRUCKS SERVICES,CARRETERA 72 NUMERO 57H8950 BUENAVENTURA COLOMBIA CP 110742 TAX 0991466177001 ,NTS NATIONAL TRUCKS SERVICES,CARRETERA 72 NUMERO 57H8950,BUENAVENTURA COLOMBIA CP 110742,TAX.0991466177001,57-15978989,NTS NATIONAL TRUCKS SERVICES,CARRETERA 72 NUMERO 57H8950 BUENAVENTURA COLOMBIA CP 110742 TAX 0991466177001 ,NTS NATIONAL TRUCKS SERVICES,CARRETERA 72 NUMERO 57H8950,BUENAVENTURA COLOMBIA CP 110742,TAX.0991466177001,57-15978989,"MX, MEXICO",290514,"6711 (PIECES) OF FILTER AND FI LTERS PARTS ( PIEZAS DE FILTR OS Y PARTES PATA FILTRO) HARM ONIZED CODE.: 8421.29.99, 842 1.39.99, 8421.31.01,8421.31.99 MARKS: DONALDSON SA DE CV<br/>8047 PIECES OF FILTER AND FILT ERS PARTS (PIEZAS DE FILTROS Y PARTES PATA FILTRO) HARMONI ZED CODE.: 8421.29.99, 8421.3 9.99, 8421.31.01,8421.31.99 MARKS: DONALDSON SA DE CV<br/>",14758,PKG,CM,17054.91,37599,LB,338391,3,SEAU592356249,SEAU591952603,H,"SEAU, SEA-LAND SERVICE, INC",LR,9447914,TORRENTE,002N,,1,10,"20193, TAMPICO","5301, HOUSTON, TX",ALTAMIRA,7,"CAAU5309687,MRKU6335005","4000*906*802,4000*906*802","4EB0,4EB0","CY,CY",5,Y,Y,END
11-Mar-20,11-Mar-20,SUMITOMO ELECTRIC INDUSTRIES LTD,ROUP MANAGEMENT DEPARTMENT STRATEGIC PLANNING DIVISION AUTOMOTIVE BUSINESS UNIT ,SUMITOMO ELECTRIC INDUSTRIES LTD.,GROUP MANAGEMENT DEPARTMENT,STRATEGIC PLANNING DIVISION,AUTOMOTIVE BUSINESS UNIT,5-28 HAMADA-CHO YOKKAICHI MIE,SUMITOMO ELECTRIC WIRING SYSTEMS INC,1018 ASHLEY STREET BOWLING GREEN KY42102-9031 U S A ,SUMITOMO ELECTRIC WIRING SYSTEMS,INC.,1018 ASHLEY STREET BOWLING GREEN KY,42102-9031 U.S.A.,TEL270-782-7397,SUMITOMO ELECTRIC WIRING SYSTEMS INC,1018 ASHLEY STREET BOWLING GREEN KY42102-9031 U S A ,SUMITOMO ELECTRIC WIRING SYSTEMS,INC.,1018 ASHLEY STREET BOWLING GREEN KY,42102-9031 U.S.A.,TEL270-782-7397,"JP, JAPAN",840212,TUBES ETC NT REINFORCED ETC WITHOUT FITTING WIRING HARNESS COMPONENTS - AS PER ATTACHED SHEET - 1 C T 44 P T(826 C T) TEL 059-327-5078 FAX 059-327-5083<br/>,827,CTN,CM,6697,6697,KG,133940,1.5,YMLUW272022227A,YMLUW272022227,H,"YMLU, YANG MING MARINE TRANSPORT CORP",PA,9312781,NYK VEGA,067E,,200527,10,"58857, NAGOYA KO","2704, LOS ANGELES, CA",NAGOYA CY,9,TEMU8810580,4000*900*800,45G0,HH,5,Y,Y,END
13-Mar-20,15-Mar-20,STAHL EUROPE BV,PO BOX 31 -5140 AA SLUISWEG 10-5145 PE 5140 WAALWIJK NETHERLANDS ,STAHL EUROPE BV,PO BOX 31 -5140 AA SLUISWEG,10-5145 PE 5140 WAALWIJK,NETHERLANDS,39-29268171,STAHL DE MEXICO S A DE C V, INDUSTRIAS QUIMICAS NO 105 ZONA INDUSTRIAL TOLUCA MEXICO C P 50071 RFC: SME890901KH0 ,STAHL DE MEXICO S.A. DE C.V.,INDUSTRIAS QUIMICAS NO. 105,"ZONA INDUSTRIAL, TOLUCA",MEXICO C.P. 50071 RFC: SME890901KH0,52-5526230868,STAHL DE MEXICO S A DE C V, INDUSTRIAS QUIMICAS NO 105 ZONA INDUSTRIAL TOLUCA MEXICO C P 50071 RFC: SME890901KH0 ,STAHL DE MEXICO S.A. DE C.V.,INDUSTRIAS QUIMICAS NO. 105,"ZONA INDUSTRIAL, TOLUCA",MEXICO C.P. 50071 RFC: SME890901KH0,52-5526230868,"IT, ITALY",180632,ON 16 PALLETS TANICOR SXP L IQ 220 KG TARIFF NR.: 3202100 0 TANICOR SXP LIQ 220 KG TAR IFF NR.: 32021000 TERGOTAN ES N LIQ 1250 KG TARIFF NR.: 320 21000 PP-39-124 80 KG CAMOTEX TARIFF NR.: 32064970 PP-13- 305 25 KG AQ. PIGMENT DISPERS ION TARIFF NR.: 32100090 NEO SAN 2000 WHITE 75 KG TARIFF N R.: 32061900 TANICOR PCR-IT 2 5 KG TARIFF NR.: 32029000 TA NICOR PCR-IT 25 KG TARIFF NR. : 32029000 APPLICABLE FREE TIME 14 DAYS COMBINED(DETENTIO N & DEMURRAGE) AT (PORT OF DIS CHARGE / PLACE OF DELIVERY) FREIGHT PREPAID<br/>,179,PCS,CM,13490.06,29740,LB,267660,1,MAEU591818250,MAEU606962886,H,"MAEU, MAERSK LINES, INC.",GB,9398230,ASTRID SCHULTE,008W,,1,10,"47031, ALGECIRAS","5201, MIAMI, FL",GENOA,9,SUDU1616480,2000*806*802,2CB0,CS,5,Y,Y,END
15-Mar-20,18-Mar-20,COVERCRAFT INDUSTRIES PAULS VALLEY 100 ENTERPRISE, BLVD PAULS VALLEY OK 73075 AUSTRALIA ,COVERCRAFT INDUSTRIES,PAULS VALLEY,100 ENTERPRISE BLVD PAULS VALLEY,OK 73075 AUSTRALIA,61-292836180,COVERCRAFT INDUSTRIES LLC,00 ENTERPRISE BLVD PAULS VALLEY OK 73075 UNITED STATES OF AMERICA THE ,"COVERCRAFT INDUSTRIES, LLC",100 ENTERPRISE BLVD.,"PAULS VALLEY, OK 73075",UNITED STATES OF AMERICA (THE),1-4152315252,COVERCRAFT INDUSTRIES LLC,00 ENTERPRISE BLVD PAULS VALLEY OK 73075 UNITED STATES OF AMERICA THE ,"COVERCRAFT INDUSTRIES, LLC",100 ENTERPRISE BLVD.,"PAULS VALLEY, OK 73075",UNITED STATES OF AMERICA (THE),1-4152315252,"AU, AUSTRALIA",600490,"FABRICS, ELASTIC, THREAD, LAB<br/>",93,BOX,CM,5245.88,11565,LB,104085,1.5,MAEU591417763,MAEU910157954,H,"MAEU, MAERSK LINES, INC.",LR,9569970,TUCAPEL,003N,,1,10,"30107, CARTAGENA","5301, HOUSTON, TX",SYDNEY,9,MSKU6283330,4000*806*802,4CB0,CY,5,Y,Y,END
16-Mar-20,16-Mar-20,LOTTE CHILSUNG BEVERAGE CO LTD, 4TH FLOOR LOTTE CASTLEPLAZA 7-18 SINCHEON-DONG SONGPA-GU SEOUL KOREA 138-727 ,LOTTE CHILSUNG BEVERAGE CO. LTD.,4TH FLOOR LOTTE CASTLEPLAZA,7-18 SINCHEON-DONG SONGPA-GU,SEOUL KOREA 138-727,TEL 82-2-3459-1431,LOTTE BEVERAGE AMERICA CORP,3600 WILSHIRE BLVD SUITE NO 836 LOS ANGELES CA 90010 ,LOTTE BEVERAGE AMERICA CORP.,3600 WILSHIRE BLVD.,SUITE NO. 836,LOS ANGELES CA 90010,TEL 213-738-7900,LOTTE BEVERAGE AMERICA CORP,3600 WILSHIRE BLVD SUITE NO 836 LOS ANGELES CA 90010 ,LOTTE BEVERAGE AMERICA CORP.,3600 WILSHIRE BLVD.,SUITE NO. 836,LOS ANGELES CA 90010,TEL 213-738-7900,"KR, REPUBLIC OF KOREA",220300,BEER MADE FROM MALT ALCOHOLIC BEVERAGES BEER MADE FROM MALT PROMOTION ITEM<br/>,1133,PKG,CM,16784,16784,KG,335682,1.5,YMLUW360864182A,YMLUW360864182,H,"YMLU, YANG MING MARINE TRANSPORT CORP",JP,9629914,ONE CONTRIBUTION,040E,,200579,10,"58023, PUSAN","2709, LONG BEACH, CA",BUSAN KOREA,9,YMMU6232206,4000*900*800,45G0,HH,5,Y,Y,END
16-Mar-20,16-Mar-20,LOTTE CHILSUNG BEVERAGE CO LTD, 3TH FLOOR LOTTE CASTLEPLAZA 7-18 SINCHEON-DONG SONGPA-GU SEOUL KOREA 138-727 ,LOTTE CHILSUNG BEVERAGE CO. LTD.,3TH FLOOR LOTTE CASTLEPLAZA 7-18,SINCHEON-DONG SONGPA-GU SEOUL,KOREA 138-727,TEL 82-2-3458-6186,LOTTE BEVERAGE AMERICA CORP,3600 WILSHIRE BLVD SUITE NO 836 LOS ANGELES CA 90010 TEL 213-738-7900 ,LOTTE BEVERAGE AMERICA CORP.,3600 WILSHIRE BLVD. SUITE NO. 836,LOS ANGELES CA 90010,TEL 213-738-7900,FAX 213-738-7916,LOTTE BEVERAGE AMERICA CORP,3600 WILSHIRE BLVD SUITE NO 836 LOS ANGELES CA 90010 TEL 213-738-7900 ,LOTTE BEVERAGE AMERICA CORP.,3600 WILSHIRE BLVD. SUITE NO. 836,LOS ANGELES CA 90010,TEL 213-738-7900,FAX 213-738-7916,"KR, REPUBLIC OF KOREA",220720,OTHER ETHYL ALCOHOL (STRENGTH OF LESS THAN 80ALCOHOLIC BEVERAGES SOJUS PROMOTION ITEM<br/>,4846,PKG,CM,20227,20227,KG,404544,2,YMLUW360864186A,YMLUW360864186,H,"YMLU, YANG MING MARINE TRANSPORT CORP",JP,9629914,ONE CONTRIBUTION,040E,,200579,10,"58023, PUSAN","2709, LONG BEACH, CA",BUSAN KOREA,9,TEMU7952662,4000*900*800,45G0,HH,5,Y,Y,END
16-Mar-20,16-Mar-20,LOTTE CHILSUNG BEVERAGE CO LTD, 4TH FLOOR LOTTE CASTLEPLAZA 7-18 SINCHEON-DONG SONGPA-GU SEOUL KOREA 138-727 ,LOTTE CHILSUNG BEVERAGE CO. LTD.,4TH FLOOR LOTTE CASTLEPLAZA,7-18 SINCHEON-DONG SONGPA-GU,SEOUL KOREA 138-727,TEL 82-2-3459-1431,LOTTE BEVERAGE AMERICA CORP,3600 WILSHIRE BLVD SUITE NO 836 LOS ANGELES CA 90010 ,LOTTE BEVERAGE AMERICA CORP.,3600 WILSHIRE BLVD.,SUITE NO. 836,LOS ANGELES CA 90010,TEL 213-738-7900,LOTTE BEVERAGE AMERICA CORP,3600 WILSHIRE BLVD SUITE NO 836 LOS ANGELES CA 90010 ,LOTTE BEVERAGE AMERICA CORP.,3600 WILSHIRE BLVD.,SUITE NO. 836,LOS ANGELES CA 90010,TEL 213-738-7900,"KR, REPUBLIC OF KOREA",220720,OTHER ETHYL ALCOHOL (STRENGTH OF LESS THAN 80ALCOHOLIC BEVERAGES SOJUS PROMOTION ITEM CONTACT MYLENE T AN<br/>,1545,PKG,CM,19585,19585,KG,391690,2,YMLUW360864188A,YMLUW360864188,H,"YMLU, YANG MING MARINE TRANSPORT CORP",JP,9629914,ONE CONTRIBUTION,040E,,200579,10,"58023, PUSAN","2709, LONG BEACH, CA",BUSAN KOREA,9,TCKU6055676,4000*900*800,45G0,HH,5,Y,Y,END
16-Mar-20,16-Mar-20,HYO SEONG ELECTRIC CO LTD, JANGANSANDAN 9RO 190 JANGAN-EUB GIJANG-GUN BUSAN SOUTH KOREA 46034 ,HYO SEONG ELECTRIC CO. LTD,JANGANSANDAN 9RO 190,JANGAN-EUB GIJANG-GUN,BUSAN SOUTH KOREA 46034,PHONE 82-51-720-6476,HYO SEONG AMERICA CORP, 275 NORTHPOINTE DRIVE FAIRFIELD OH 45014 U S A ATTN MR STEVE KONG ,HYO SEONG AMERICA CORPORATION,275 NORTHPOINTE DRIVE,FAIRFIELD OH 45014 U.S.A,ATTN MR. STEVE KONG,TEL 513-682-6182,HYO SEONG AMERICA CORP, 275 NORTHPOINTE DRIVE FAIRFIELD OH 45014 U S A ATTN MR STEVE KONG ,HYO SEONG AMERICA CORPORATION,275 NORTHPOINTE DRIVE,FAIRFIELD OH 45014 U.S.A,ATTN MR. STEVE KONG,TEL 513-682-6182,"KR, REPUBLIC OF KOREA",850300,DC MOTORS GENERATORS W OUTPUT NOT EXCEEDING BLOWER MOTORS FOR AUTOMOTIVE AIRCONDITIONER MOTOR ACTUATOR ASSEMBLY TOTAL 40 CTNS TOTAL 17 604 PCS<br/>,40,CTN,CM,17836,17836,KG,356720,2,YMLUW360864681A,YMLUW360864681,H,"YMLU, YANG MING MARINE TRANSPORT CORP",JP,9629914,ONE CONTRIBUTION,040E,,200579,10,"58023, PUSAN","2709, LONG BEACH, CA",BUSAN KOREA,9,BMOU6835499,4000*900*800,45G0,HH,5,Y,Y,END
16-Mar-20,16-Mar-20,HYO SEONG ELECTRIC CO LTD, JANGANSANDAN 9RO 190 JANGAN-EUB GIJANG-GUN BUSAN SOUTH KOREA 46034 PHONE 82-51-720-6476 ,HYO SEONG ELECTRIC CO. LTD,JANGANSANDAN 9RO 190 JANGAN-EUB,GIJANG-GUN BUSAN SOUTH KOREA,46034 PHONE 82-51-720-6476,TAX ID 621-81-14881,HYO SEONG AMERICA CORP, 275 NORTHPOINTE DRIVE FAIRFIELD OH 45014 U S A ATTN MR STEVE KONG ,HYO SEONG AMERICA CORPORATION,275 NORTHPOINTE DRIVE,FAIRFIELD OH 45014 U.S.A,ATTN MR. STEVE KONG,TEL 513-682-6182,HYO SEONG AMERICA CORP, 275 NORTHPOINTE DRIVE FAIRFIELD OH 45014 U S A ATTN MR STEVE KONG ,HYO SEONG AMERICA CORPORATION,275 NORTHPOINTE DRIVE,FAIRFIELD OH 45014 U.S.A,ATTN MR. STEVE KONG,TEL 513-682-6182,"KR, REPUBLIC OF KOREA",850300,DC MOTORS GENERATORS W OUTPUT NOT EXCEEDING BLOWER MOTORS FOR AUTOMOTIVE AIRCONDITIONER MOTOR ACTUATOR ASSEMBLY TOTAL 40 CTNS NO. DATE OF INVOICE<br/>,40,CTN,CM,17574,17574,KG,351480,2,YMLUW360864682A,YMLUW360864682,H,"YMLU, YANG MING MARINE TRANSPORT CORP",JP,9629914,ONE CONTRIBUTION,040E,,200579,10,"58023, PUSAN","2709, LONG BEACH, CA",BUSAN KOREA,9,TCNU2184999,4000*900*800,45G0,HH,5,Y,Y,END
16-Mar-20,16-Mar-20,DTR CORP,103 SANMAKGONGDANBUK 11-GIL YANGSAN-SI GYEONGSANGNAM-DO KOREA 626-120 ,DTR CORP.,103 SANMAKGONGDANBUK 11-GIL,YANGSAN-SI GYEONGSANGNAM-DO,KOREA 626-120,TEL )82-55-758-5166,DONG AH AMERICA INC,24500 NORTHLINE RD TAYLOR MI 48180 TEL 734-946-7940 ,DONG AH AMERICA INC.,24500 NORTHLINE RD.,TAYLOR MI 48180,TEL )734-946-7940,FAX )734-946-7965,G B INTERNATIONAL INC,1001 FARGO AVE ELK GROVE VILLAGE IL 60007 TEL 847 734 0500 ,G B INTERNATIONAL INC.,1001 FARGO AVE.,ELK GROVE VILLAGE IL 60007,TEL. 847.734.0500,FAX. 847.734.0511,"KR, REPUBLIC OF KOREA",870829,PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02548 219-DO--02551(+DS02051 53)<br/>PARTS AND ACCESSORIES OF MOTOR VEHICLES NESO ANTIVIBRATION AUTOMOBILE PARTS INV NO 219-DO-02548 219-DO--02551(+DS02051 53)<br/>,100,PKG,CM,38868,38868,KG,1554710,4,YMLUW360864600A,YMLUW360864600,H,"YMLU, YANG MING MARINE TRANSPORT CORP",JP,9629914,ONE CONTRIBUTION,040E,,200579,10,"58023, PUSAN","2709, LONG BEACH, CA",BUSAN KOREA,9,"YMMU6042741,MAGU5576966","4000*900*800,4000*900*800","45G0,45G0","HH,HH",5,Y,Y,END
